dropout_rate,first_filters,learning_rate,dense_units,best_val_accuracy,best_epoch,final_val_loss
0.1,16,0.001,512,0.8828125,6,0.2918652594089508
0.1,16,0.001,256,0.8385416865348816,6,0.36845889687538147
0.1,16,0.0005,512,0.8723958134651184,5,0.30566638708114624
0.1,16,0.0005,256,0.8958333134651184,11,0.30897587537765503
0.1,8,0.001,512,0.8958333134651184,5,0.29371535778045654
0.1,8,0.001,256,0.8671875,5,0.32607579231262207
0.1,8,0.0005,512,0.8723958134651184,7,0.31188449263572693
0.1,8,0.0005,256,0.8723958134651184,5,0.2813125252723694
0.2,16,0.001,512,0.8880208134651184,4,0.30307602882385254
0.2,16,0.001,256,0.8671875,8,0.3626038134098053
0.2,16,0.0005,512,0.8671875,10,0.3336443603038788
0.2,16,0.0005,256,0.8828125,8,0.31986066699028015
0.2,8,0.001,512,0.8385416865348816,6,0.36053597927093506
0.2,8,0.001,256,0.8645833134651184,6,0.352148175239563
0.2,8,0.0005,512,0.8697916865348816,8,0.31695467233657837
0.2,8,0.0005,256,0.859375,11,0.3652258813381195
